time	V(out)
	3.010680e-006	1.192910e+001
	3.201971e-006	1.192698e+001
	3.234311e-006	1.192667e+001
	3.280983e-006	1.192625e+001
	3.282249e-006	1.192623e+001
	3.284239e-006	1.192622e+001
	3.285962e-006	1.192621e+001
	3.287881e-006	1.192620e+001
	3.289534e-006	1.192620e+001
	3.291018e-006	1.192621e+001
	3.292403e-006	1.192624e+001
	3.293874e-006	1.192631e+001
	3.295205e-006	1.192645e+001
	3.296626e-006	1.192669e+001
	3.297533e-006	1.192694e+001
	3.298289e-006	1.192722e+001
	3.298631e-006	1.192738e+001
	3.298789e-006	1.192746e+001
	3.298865e-006	1.192750e+001
	3.299252e-006	1.192774e+001
	3.299460e-006	1.192788e+001
	3.299667e-006	1.192803e+001
	3.299874e-006	1.192818e+001
	3.300081e-006	1.192834e+001
	3.300288e-006	1.192851e+001
	3.300496e-006	1.192868e+001
	3.300703e-006	1.192886e+001
	3.302161e-006	1.193017e+001
	3.303882e-006	1.193181e+001
	3.307018e-006	1.193489e+001
	3.310800e-006	1.193861e+001
	3.314280e-006	1.194199e+001
	3.317547e-006	1.194512e+001
	3.320681e-006	1.194808e+001
	3.323493e-006	1.195070e+001
	3.325915e-006	1.195293e+001
	3.328461e-006	1.195525e+001
	3.330904e-006	1.195745e+001
	3.334233e-006	1.196040e+001
	3.338140e-006	1.196381e+001
	3.343094e-006	1.196804e+001
	3.348688e-006	1.197270e+001
	3.355643e-006	1.197834e+001
	3.363809e-006	1.198474e+001
	3.371592e-006	1.199063e+001
	3.379352e-006	1.199630e+001
	3.386861e-006	1.200159e+001
	3.394572e-006	1.200684e+001
	3.402173e-006	1.201183e+001
	3.409890e-006	1.201672e+001
	3.417503e-006	1.202138e+001
	3.425197e-006	1.202592e+001
	3.432823e-006	1.203026e+001
	3.440510e-006	1.203449e+001
	3.457747e-006	1.204340e+001
	3.468961e-006	1.204879e+001
	3.480175e-006	1.205393e+001
	3.491389e-006	1.205881e+001
	3.502603e-006	1.206343e+001
	3.513817e-006	1.206780e+001
	3.525032e-006	1.207191e+001
	3.536246e-006	1.207576e+001
	3.567267e-006	1.208539e+001
	3.610912e-006	1.209647e+001
	3.683414e-006	1.211113e+001
	3.711768e-006	1.211551e+001
